question,table,llm_answer,true_answer,correctness
what are the number of times antonov is listed as the manufacturer?,"Manufacturer         Model first flight max Payload (t) Cruise (km/h) max range (km) MTOW
      Airbus     A330 MRTT         2007              45           860         14,800  223
      Airbus         A400M         2009              37           780          9,300  141
      Alenia C-27J Spartan         2008            11.5           583          5,926 31.8",The number of times 'antonov' is listed as the manufacturer is [distinct_count].,8,wrong
which track was composed by jacques brel and gaby wagenheim?,"Track                                           Title                                    Translation     Composer   Recorded
    1 ""Demain l'on se marie (La chanson des fiancés)"" Tomorrow we'll marry (The song of the fiances) Jacques Brel 1958-03-14
    2                                  ""Au printemps""                                  In the spring Jacques Brel 1958-04-01
    3                                ""Je ne sais pas""                                   I don't know Jacques Brel 1958-04-01",The track composed by Jacques Brel and Gaby Wagenheim is track number 4.,"""Le colonel""",wrong
"which two nations made the same score for 5 hoops and 3 balls, 2 ribbons?","Place   Nation    5 Hoops 3 Balls,\n2 Ribbons  Total
    1 Bulgaria 19.800 (1)          19.800 (1) 39.600
    2    Spain 19.700 (3)          19.700 (2) 39.400
    3  Belarus 19.733 (2)          19.600 (3) 39.333","The nations that made the same score for 5 hoops and 3 balls, 2 ribbons are those with the total score of 37.932, 38.466, 38.499, 38.866, 39.166, 39.333, 39.400, and 39.600.","Bulgaria, Spain",wrong
which train number has its destination in kannur?,"No. Train No:            Origin              Destination     Train Name
 1.     56654 Mangalore Central                Kozhikode      Passenger
 2.     56324 Mangalore Central Coimbatore city Junction Fast Passenger
 3.     56656 Mangalore Central                   Kannur      Passenger",The train number with its destination in Kannur is 56656.,56656,correct
how many times did they finish ninth?,"Season  Level   Division     Section Position Movements
  1960 Tier 4 Division 4 Hälsingland      3rd          
  1961 Tier 4 Division 4 Hälsingland      2nd          
  1962 Tier 4 Division 4 Hälsingland      1st  Promoted","The table does not contain numerical data for 'Position', so it's not possible to calculate the average position.",6,wrong
"what debut album, reached no. 26 on uk albums chart in 1989?","Year                     Album Territory                   Label                                                      Notes
1989 Good Deeds and Dirty Rags        UK         Capitol Records             Debut album, reached No. 26 on UK Albums Chart
1989      Fish Heads and Tails        UK         Capitol Records                    Mid-price live and rarities compilation
1991          Hammer and Tongs        UK Radioactive Records/MCA Second studio album; reached No. 61 on the UK Albums Chart",The debut album that reached no. 26 on the UK Albums Chart in 1989 is 'Good Deeds and Dirty Rags'.,Good Deeds and Dirty Rags,correct
which tournament had the most points per game?,"                  Tournament Games played Points per game Rebounds per game Assists per game
             2003 EuroBasket            6             6.8               5.3              0.7
             2005 EuroBasket            7             7.6               7.1              0.6
2006 FIBA World Championship            9             9.7               6.7              0.6","The Tournament with the highest average points per game is the 2006 FIBA World Championship, with an average of 9.7 points per game.",2006 FIBA World Championship,correct
which year has the most games?,"Year                          Game     Developer Setting         Platform                                       Notes
1963                       Intopia                Modern          Various                                            
1973                Lemonade Stand          MECC  Modern Mainframe, APPII Created in 1973, ported to Apple II in 1979
1980 Windfall: The Oil Crisis Game David Mullich  Modern            APPII                                            ",The year with the most games is 1982.,2003,wrong
tell me the only country to schore below 38 total points.,"Place   Nation    5 Hoops 3 Balls,\n2 Ribbons  Total
    1 Bulgaria 19.800 (1)          19.800 (1) 39.600
    2    Spain 19.700 (3)          19.700 (2) 39.400
    3  Belarus 19.733 (2)          19.600 (3) 39.333",The only country to score below 38 total points is Hungary.,Hungary,correct
has the dominican republic won more or less medals than china?,"Rank        Nation Gold Silver Bronze Total
  1. United States    8      7      1    16
  2.        Russia    7      7      5    19
  3.        France    3      3      2     8","The Dominican Republic has won 1 medal, while China has not won any medals according to the provided data.",less,wrong
how od was alberto ginastera when he died?,"              Composer Born Died        Nationality                                             Notable works for piano Remarks
             Roy Agnew 1891 1944         Australian                                                                            
Theodore Akimenko (ru) 1876 1945 Russian, Ukrainian                                                               IMSLP        
        Malcolm Arnold 1921 2006            English Sonata for Piano (1942)\nVariations on a Ukrainian Folk Song, Op. 9        ",Alberto Ginastera died in 1983.,67,wrong
how many times has christel boeljon had a top-10 finish in the ladies european tour?,"Year Tournaments\nplayed Cuts\nmade Wins 2nd 3rd Top 10s Best\nfinish Earnings\n(€) Money\nlist rank Scoring\naverage Scoring\nrank Rolex\nranking
2004                   1          0    0   0   0       0          CUT           n/a                             77.50                             
2006                   1          1    0   0   0       0          T55           n/a                             73.67                             
2007                   1          1    0   0   0       0          T11           n/a                             71.00                          647",Christel Boeljon has had a total of 2 top-10 finishes in the Ladies European Tour.,17,wrong
which capacitor has the same temperature as the nesccap electric double-layer capacitor?,"                         Capacitor type Capacity Volts Temp. Energy-to-weight ratio   Power-to-weight ratio
      ACT Premlis Lithium ion capacitor   2000 F 4.0 V 25 °C      54 kJ/kg to 2.0 V         44.4 W/kg @ 5 A
      ACT Premlis Lithium ion capacitor   2000 F 4.0 V 25 °C      31 kJ/kg to 2.0 V         850 W/kg @ 10 A
Nesccap Electric double-layer capacitor   5000 F 2.7 V 25 °C  19.58 kJ/kg to 1.35 V 5.44 W/kg C/1 (1.875 A)",There are no capacitors with the same temperature as the 'nesccap electric double-layer capacitor'.,ACT Premlis Lithium ion capacitor,wrong
how many more seats were available in 1975 than 1963?,"Year of election Candidates elected # of seats available # of votes % of popular vote
            1963                  7                  108       n.a.             15.5%
            1967                 20                  117       n.a.             25.9%
            1971                 19                  117       n.a.             27.1%","The Year of election with the highest average number of seats available is 1987, with an average of 130.0 seats.",17,wrong
what is the total number of international goals that holosko has scored?," #             Date                                         Venue   Opponent Score Result                   Competition
1. 16 November 2005            Tehelné pole, Bratislava, Slovakia      Spain   1–0    1–1 2006 FIFA World Cup play-offs
2.      20 May 2006 Štadión Antona Malatinského, Trnava, Slovakia    Belgium   1–0    1–1                      Friendly
3.  13 October 2007              Štadión Zimný, Dubnica, Slovakia San Marino   5–0    7–0     UEFA Euro 2008 qualifying","The provided table does not contain the 'goals' column, so it's impossible to determine the total number of international goals that Holosko has scored.",13,wrong
what is the difference between the number of games won and the number of games lost?,"Week             Date                     Opponent Score Result Attendance Record
   1 Thursday, Aug 11    vs. Winnipeg Blue Bombers 35–21   Loss     31,837    0–1
   2   Monday, Aug 15          at Edmonton Eskimos 33–14   Loss     17,500    0–2
   3 Saturday, Aug 20 vs. Saskatchewan Roughriders 27–12    Win     29,532    1–2",The difference between the number of games won and the number of games lost cannot be calculated because the 'Result' column contains string values instead of numerical values.,4,wrong
what vehicle maker other than dodge has the most vehicles in the roster?,"                 Team            Truck(s)  #       Driver(s) Primary Sponsor(s) Listed Owner(s)    Crew Chief
     Addington Racing Chevrolet Silverado 60   Travis Kvapil  CAT Rental Stores  Mike Addington      Rick Ren
Bobby Hamilton Racing           Dodge Ram  4      Brian Rose   Perry Connection Debbie Hamilton Danny Rollins
Bobby Hamilton Racing           Dodge Ram  8 Bill Lester (R)      Dodge Dealers  Bobby Hamilton    Kip McCord",The vehicle maker other than Dodge with the most vehicles in the roster is [insert vehicle maker name] with [insert count of vehicles] vehicles.,Chevrolet,wrong
how many drivers had a total of 58 laps or more?,"Pos No            Driver  Constructor Laps Time/Retired Grid
  1 12    Clay Regazzoni      Ferrari   60   1:01:25.34    3
  2  4 Patrick Depailler Tyrrell-Ford   60    + 0:08.35    5
  3  2       Jochen Mass McLaren-Ford   60    + 0:15.44    4",There were 12 drivers who had a total of 58 laps or more.,12,correct
name all winners of the caribbean cup,"               Team                                             Titles                 Runners-up          Third place         Fourth place
Trinidad and Tobago 8 (1989, 1992, 1994, 1995, 1996, 1997, 1999, 2001) 4 (1991, 1998, 2007, 2012)       2 (1993, 2005)                    0
            Jamaica                   5 (1991, 1998, 2005, 2008, 2010)             2 (1992, 1993)       2 (1997, 1999)                    0
               Cuba                                           1 (2012)       3 (1996, 1999, 2005) 3 (1995, 2007, 2010) 3 (1992, 2001, 2008)","The winners of the Caribbean Cup are: Trinidad and Tobago, Jamaica, Cuba, Martinique, and Haiti.","Trinidad and Tobago, Jamaica, Cuba, Martinique, Haiti",correct
total number of medals earned by the 8th place finishers,"Rank    Nation Gold Silver Bronze Total
   1    Brazil   13     18     12    43
   2 Argentina    7      4      7    18
   3     Chile    7      2      3    12",The total number of medals earned by the 8th place finishers is 4.,4,correct
"what year was itoh's only victory at the 10,000m distance.","Year         Competition              Venue Position   Event    Notes
1975 Asian Championships Seoul, South Korea      1st  5,000m  14:00.8
1979 Asian Championships       Tokyo, Japan      2nd 10,000m  29:00.2
1981 Asian Championships       Tokyo, Japan      1st 10,000m 28:53.29","The year of Itoh's only victory at the 10,000m distance was 1981.",1981,correct
who was appointed before h.w. whillock?,"    Incumbent              Reason for Vacancy Appointed Successor Date of Appointment   Elected Successor Date of Election
L. B. Lindsay Disqualified, never took office   Henry E. Prickett   November 19, 1867      Thomas B. Hart     January 1868
  John Hailey               Never took office      Charles Himrod       July 10, 1871 George H. Twitchell     July 8, 1872
Sol Hasbrouck       Resigned November 5, 1885     James W. Huston   December 28, 1885     Peter J. Pefley        July 1887",There is no person appointed before H.W. Whillock in the provided data.,Byron E. Hyatt,wrong
which painter has a higher mark for drawing jacopo bassano or otho venius?,"         Painter Composition Drawing Color Expression
Andrea del Sarto          12      16     9          8
Federico Barocci          14      15     6         10
  Jacopo Bassano           6       8    17          0",Jacopo Bassano has a higher mark for drawing compared to Otho Venius.,Otho Venius,wrong
how many tracks are in this album?,"Track                                           Title                                    Translation     Composer   Recorded
    1 ""Demain l'on se marie (La chanson des fiancés)"" Tomorrow we'll marry (The song of the fiances) Jacques Brel 1958-03-14
    2                                  ""Au printemps""                                  In the spring Jacques Brel 1958-04-01
    3                                ""Je ne sais pas""                                   I don't know Jacques Brel 1958-04-01",There are 13 tracks in this album.,13,correct
how many top selling brands target dermatology?,"               Brand Active ingredient       Therapeutic area   Pathology
1 Ebastel and others         Ebastine*            Respiratory     Allergy
2          Prevencor      Atorvastatin         Cardiovascular Cholesterol
3            Esertia      Escitalopram Central nervous system  Depression",There are 3 top selling brands that target dermatology.,3,correct
"other than scorpio, jr. and super crazy, name a championship that took place at iwl oktoberfest.","#                                  Wrestlers Reign              Date Days\nheld                            Location                                Event                                                                                                                                                                                                                                                     Notes
1 Los Perros del Mal\n(Bestia 666 and X-Fly)     1 November 28, 2010        311 Cuautitlán Izcalli, State of Mexico                       IWL House Show                                                                                                              Los Perros del Mal defeated Los Traumas (Trauma I and Trauma II) in the final of an eight team tournament to become the inaugural champions.
—                                    Vacated     —   October 5, 2011          —       Tlalnepantla, State of Mexico Announced on IWL Official's Facebook After Bestia 666 and X-Fly had on multiple occasions defended the title without IWL's authorization, the promotion announced that they would no longer recognize the title and would have it replaced by the new IWL International Tag Team Championship.
2               Scorpio, Jr. and Super Crazy     1  October 22, 2011        580       Tlalnepantla, State of Mexico                      IWL Oktoberfest                                                                                                                                                         Scorpio, Jr. & Super Crazy defeated the team of Aero Star & Electroshock to win the vacant title.","The championship that took place at IWL Oktoberfest, other than Scorpio Jr. and Super Crazy, is IWL Oktoberfest itself.",Ultimo Gladiador and Ultimo Vampiro,wrong
where was the last competition held?,"#            Date                                                Venue Opponent Score Result                                        Competition
1 8 February 2011              Stade Georges Pompidou, Valence, France     Mali   1–0    1–0                                           Friendly
2     11 May 2011 Stade Félix Houphouët-Boigny, Abidjan, Côte d'Ivoire  Namibia   4–1    5–1                                           Friendly
3     5 June 2011                    Stade de l'Amitié, Cotonou, Benin    Benin   0–1    2–6 2012 Africa Cup of Nations qualification – Group H","The last competition was held at Stade Georges Pompidou in Valence, France.","Royal Bafokeng Stadium, Rustenburg, South Africa",wrong
who became the winning couple the most?,"Week                                    Room     Winning Couple                  2nd Couple          3rd Couple        Chumps
   1                         Guest Bedroom 1 Alisa and Lysandra Kyal and Kara/Brad and Dale Chantelle and Steve              
   2 Downstairs Bathrooms, Laundry & Terrace      Brad and Dale          Alisa and Lysandra Chantelle and Steve Kyal and Kara
   3                         Guest Bedroom 2      Kyal and Kara         Chantalle and Steve  Alisa and Lysandra Brad and Dale","Kyal and Kara became the winning couple the most, appearing 3 times.",Kyal and Kara,correct
who was the top prize winner in cha$e?,"  Name Gender Age             From               Occupation Prize Money (USD)                        Status
Trisha Female  28 Santa Monica, CA                   Artist           $26,000                        Winner
London   Male  46    Mt. Holly, NJ US Coast Guard (Retired)                $0                          Lost
 Adria Female  25      Seattle, WA                Bartender                $0 7th Captured (by Ricky Ortiz)",The top prize winner in 'cha$e' was a female with an average age of 35.2 years.,Trisha,wrong
which incumbent died before john george montagu?,"            Date Constituency c/u Former Incumbent          Winner                        Cause
20 December 1790    Haslemere   u    James Lowther    Richard Penn Chose to sit for Westmorland
21 December 1790      Banbury   u       Lord North      Lord North       Succeeded to a peerage
21 December 1790       Oxford   c Peregrine Bertie Arthur Annesley                        Death","The incumbent who died before John George Montagu was Henry Speed, who won the seat in Huntingdon on 22 December 1790.",Peregrine Bertie,wrong
which artist earned the least number of points?,"Draw     Artist             Song Points Place
   1   Mystique    ""Rendez-vous""     25     8
   2    Vulcano ""Met jou d'rbij""     27     5
   3 Bernadette           ""Soms""     26    6=",The artist with the least number of points is Mystique.,Mystique,correct
how many schools are not charter?,"                 School Name     City Grades Establishment Charter
Aliamanu Intermediate School Honolulu    7-8          1958        
              Anuenue School Honolulu   K-12          1958 Charter
       Central Middle School Honolulu    6-8          1926        ",There is 1 school that is not a charter.,11,wrong
what country ranks in first place?,"Rank      Nation Gold Silver Bronze Total
   1       China   10      5      1    16
   2 North Korea    3      3      4    10
   3       Japan    1      3      3     7",China,China,correct
which ethnicity is previous from dungan,"Ethnicity  Islam Christianity Judaism Buddhism Other None / Atheism   n/a
   TOTALS 70.20%       26.32%   0.03%    0.09% 0.02%          2.82% 0.51%
   Kazakh 98.34%        0.39%   0.02%    0.01% 0.02%          0.98% 0.26%
  Russian  1.43%       91.64%   0.04%    0.02% 0.03%          6.09% 0.75%",The ethnicity previous to Dungan is Kazakh.,Belorussian,wrong
thanjavur has a population in 2001 of only how many?,"Rank      City Population (2011) Population (2001) State/Territory
   1    Mumbai        12,478,447        11,978,450     Maharashtra
   2     Delhi        11,007,835         9,879,172           Delhi
   3 Bangalore         8,425,970         5,438,065       Karnataka","Thanjavur had a population of 215,725 in 2001.","215,725",correct
how long (in number of contests) was the teams longest losing streak?,"       Date    Time         Opponent                                                       Site TV  Result Attendance Record
11/03/2012* 7:30 PM Central Missouri                              Dunn Center • Clarksville, TN    W 75–66                  
11/09/2012* 7:00 PM          Samford                              Dunn Center • Clarksville, TN    W 75–64      2,315    1–0
11/13/2012* 7:00 PM           at WKU E. A. Diddle Arena • Bowling Green, KY\n(Cancún Challenge)    L 54–74      4,160    1–1",The team's longest losing streak is 10 contests.,8 games,wrong
what is the total number of silver awards given?,"Rank      Nation Gold Silver Bronze Total
   1       Japan   18      8      8    34
   2       India    4      5      6    15
   3 Philippines    4      3      3    10",The total number of silver awards given is 37.,37,correct
how many subdivisions are there in camarines sur?,"City/Municipality City/Municipality No. of\nBarangays Area\n(hectares) Population\n(2010) Income Class\n(2010)    Mayor\n(2010–2013)
                               Baao                30           10,663             54,971            3rd class   Melquiades I. Gaite
                            Balatan                17            9,309             28,699            4th class   Ernesto A. Bagasbas
                               Bato                33           10,712             48,306            3rd class Jeanette R. Bernaldez",There is 1 subdivision in Camarines Sur.,37,wrong
"what chateau comes after ""chateau de bourmont""?","               Name            Date            Condition Ownership\n/ Access                                                                                                      Notes
   Château d'Angers    13th century Substantially intact      City of Angers Walls nearly 2,000 feet (610 m) in circumference, incorporating 17 towers originally 130 feet (40 m) high.
   Château de Baugé    15th century               Intact                                                                                                        Built as hunting lodge.
Château de Bourmont 16-19th century  Intact and extended             Private                                                                               Extended in Neo-Gothic style",Chéateau de Brissac,Château de Brissac,correct
how many terms did a republican serve before watkins term?,"              Name       Took Office       Left Office      Party District Residence Notes
  District created  District created November 16, 1907                                    
James S. Davenport November 16, 1907     March 4, 1909 Democratic                         
Charles E. Creager     March 4, 1909     March 4, 1911 Republican                         ",A Republican served in 2 different districts before Watkins' term.,1,wrong
how many total events are listed on the chart?,"Year                   Competition             Venue Position           Event   Notes
2002    World Junior Championships Kingston, Jamaica 17th (q) Shot put (6 kg) 17.77 m
2003 European Junior Championships  Tampere, Finland      2nd Shot put (6 kg) 20.10 m
2005    European U23 Championships   Erfurt, Germany      1st        Shot put 20.44 m",There are a total of 11 events listed on the chart.,11,correct
compare the scottish national party to the conservative and determine which party had their leaders in office for a longer time.,"                  Party         Leader     From       To
Scottish National Party Gordon Wallace May 1974 May 1978
Scottish National Party Robert Cunning May 1978 May 1980
                 Labour            (?) May 1974 May 1980",The leader with the highest average From is Gordon Wallace with an average From of May 1974.,Conservative,wrong
name someone else from scotland inducted before alan brazil.,"Season Level           Name   Position Nationality International\ncaps
  1973     1 Kevin Beattie*   Defender     England                   9
  1974     1 Kevin Beattie*   Defender     England                   9
  1975     1  Colin Viljoen Midfielder     England                   2",George Burley is someone else from Scotland who was inducted before Alan Brazil.,George Burley,correct
who was the last president from the republican party?,"#         President     President's Party Senate with Senate opposed House with House opposed Years served Elections won
1 George Washington    Federalist-leaning           8              0          6             2            8             2
2        John Adams            Federalist           4              0          4             0            4             1
3  Thomas Jefferson Democratic-Republican           8              0          8             0            8             2",Ronald Reagan was the last president from the Republican party.,George W. Bush,wrong
who was the next coach of the auburn tigers baseball team after steve renfroe?,"   Tenure          Coach Years Record Pct. NCAA Tournament
     1933 Sam McAllister     1  5–4–0 .556                
     1934  Herschel Bobo     1                            
1934–1939     Del Morgan     6                            ",The next coach of the Auburn Tigers baseball team after Steve Renfroe was Sam McAllister.,Tom Slater,wrong
how many residence is there?,"Class               Name                             Company         Residence Term Expires Dec 31 Notes
    A        Max T. Wake     Jones National Bank & Trust Co.  Seward, Nebraska                2013      
    A            Vacancy                                                                      2014      
    A David W. Brownback Citizens State Bank & Trust Company Ellsworth, Kansas                2015      ",There are 7 distinct residences in the dataset.,7,correct
what is the number of games played in october of this season?,"          Date         Opponents H / A Result   Score Attendance
1    29 August Doncaster Knights     H      W 30 – 14       2232
2  5 September      London Welsh     H      W  22 – 3       2047
3 11 September           Moseley     A      D 26 – 26        751",There were 5 games played in October of this season.,5,correct
how long did gall play for carlisle united?,"          Club  Season League\nApps League\nGoals FA Cup\nApps FA Cup\nGoals League Cup\nApps League Cup\nGoals Other\nApps Other\nGoals Total\nApps Total\nGoals
Bristol Rovers 2000–01           10             2            0             0                0                 0           0            0          10            2
Bristol Rovers 2001–02           31             3            3             0                2                 0           3            0          39            3
Bristol Rovers 2002–03            9             0            1             0                0                 0           1            0          11            0","Gall played for Carlisle United for three seasons: 2006-07, 2007-08, and 2008-09.",3 years,correct
what is the total number of passes this player has defended?,"Year Team Games Combined Tackles Tackles Assisted Tackles Sacks Forced Fumbles Fumble Recoveries Fumble Return Yards Interceptions Interception Return Yards Yards per Interception Return Longest Interception REturn Interceptions Returned for Touchdown Passes Defended
2002  BUF    16               96      71               25   3.0              0                 0                   0             0                         0                             0                           0                                    0               1
2003  BUF    16               28      24                4   1.0              0                 0                   0             0                         0                             0                           0                                    0               2
2004  BUF    12               25      14               11   1.0              0                 1                   0             0                         0                             0                           0                                    0               0",The player has defended a total of 10 passes.,5,wrong
what party has the most mp's?,"                                                                                  Name Abbr.           Leader                    Ideology       Political position       MPs
          Serbian Progressive Party\nСрпска напредна странка / Srpska napredna stranka   SNS Aleksandar Vučić                Conservatism             Centre-right 134 / 250
Socialist Party of Serbia\nСоцијалистичка партија Србије / Socjalistička patrija Srbje   SPS      Ivica Dačić                   Socialism Centre-left to Left-wing  25 / 250
                           Democratic Party\nДемократска странка / Demokratska stranka    DS     Dragan Đilas Social democracy, Third Way    Centre-left to Centre  17 / 250",The party with the most MPs is the one with the highest average number of MPs.,Serbian Progressive Party Српска напредна странка / Srpska napredna stranka,wrong
how many times has australia been runner-up?,"   Year       Tournament       Venue Played Won Lost Tied N/R    Result
1989–90     World Series   Australia      8   6    2    0   0       Won
   1990     Rothmans Cup New Zealand      5   5    0    0   0       Won
   1990 Austral-Asia Cup     Sharjah      4   3    1    0   0 Runner-up",Australia has been the runner-up 5 times.,1,wrong
what is the total number of points scored by this team this season?,"M   Date Tournament Round Ground     Opponent Score Attendance                        Dinamo Scorers      Report
1 13 Jul        UCL   QR2      H        Koper 5 – 1      7,000 Mandžukić (2), Slepička, Sammir, Etto Sportnet.hr
2 17 Jul   Supercup   N/A      H Hajduk Split 1 – 0      8,000                                Bišćan Sportnet.hr
3 20 Jul        UCL   QR2     AR        Koper 0 – 3      2,000                                       Sportnet.hr",The total number of points scored by this team this season is 5 – 11 – 00 – 34 – 11 – 11 – 21 – 11 – 14 – 22 – 02 – 02 – 12 – 01 – 12 – 01 – 06 – 02 – 00 – 14 – 03 – 10 – 01 – 02 – 03 – 02 – 01 – 01 – 06 – 02 – 02 – 00 – 31 – 13 – 10 – 11 – 00 – 01 – 02 – 01 – 04 – 11 – 01 – 21 – 01 – 02 – 01 – 05 – 10 – 01 – 13 – 1.,94,wrong
there is at least how many locations?,"                Location          Town Output (MW AC) Modules Number of arrays
H. Lee Dennison Building     Hauppauge           1.75   7,737               24
    North County Complex     Hauppauge            0.5   3,431                9
   Cohalan Court Complex Central Islip            3.5  15,113               27",There are at least 7 locations.,7,correct
what year come after 2010-11,"   League        League Position Teams Matches Win Lose
V1.League 3rd (2000–01)      8th     8      14   0   14
V1.League 4th (2001–02)      7th     7      12   1   11
V1.League 5th (2002–03)      3rd     8      14   9    5",The dataset does not contain numerical data suitable for calculating averages. Please provide a dataset with numerical values for the 'League' column.,2011-12,wrong
total number of players drafted in round 1,"                Player Nationality          Drafted by Year Round Overall
W       Harald Lückner      Sweden  New York Islanders 1977   7th   121st
D         Björn Olsson      Sweden     St. Louis Blues 1977   9th   147th
C Bengt-Åke Gustafsson      Sweden Washington Capitals 1978   4th    55th",There are no players drafted in round 1.,4,wrong
what type of show is running man?,"   Year                          Title   Hangul Network      Further Info
   2008 Pretty Boys: A Wrong Situation 꽃미남 아롱사태    Mnet                  
   2009  Let's Go Dream Team! Season 2  출발 드림팀2    KBS2      variety show
2009-10                     Music Bank     뮤직뱅크    KBS2 music show, as MC",Running Man is a variety show.,variety show,correct
how many friendly matches were in the table?,"Goal            Date                                  Venue      Opponent Score Result               Competition
  1.  12 August 1998 Asim Ferhatović Hase Stadium, Sarajevo Faroe Islands   1–0    1–0 UEFA Euro 2000 qualifying
  2. 14 October 1998              Žalgiris Stadium, Vilnius     Lithuania   2–2    2–4 UEFA Euro 2000 qualifying
  3.  9 October 1999              Kadriorg Stadium, Tallinn       Estonia   1–1    4–1 UEFA Euro 2000 qualifying",There are 14 friendly matches in the table.,4,wrong
what year is at the very top?,"          Name Position      Year League\napps League\ngoals Total\napps Total\ngoals                                                                                                                                                   Notes
Walter Langton  LB / CF 1887–1905           45            28          48           48 Doncaster's longest serving player\nAppearance stats don't include seasons 1887–1901 nor 1903–04 which are likely to put his total appearances over 400
   Tom Keetley       FW 1923–1929          231           180         241          186                                                                             Record all time goalscorer.\nMost goals in one game – 6 v Ashington in 1929
    Fred Emery       WH 1924–1936          417            30         439           32                                                                                               Record league appearances\nManager of Doncaster 1936–1940",The year at the very top is '1887–1905'.,1887-1905,correct
what is the first ship listed as undamaged?,"   Ship Name Desig                                       Status                                                                     Notes Links
Pennsylvania BB-38                                      Damaged in drydock No. 1, with Cassin and Downes. Three propeller shafts removed.   [1]
     Arizona BB-39                             Sunk, total loss       Moored Battleship row, berth F-7 forward of Nevada aft of Tennessee   [2]
      Nevada BB-36 Seriously damaged, beached at Hospital Point                                        Moored aft of Arizona at berth F-8   [3]","The first ship listed as undamaged is 'Sunk, total loss'.",San Francisco,wrong
how many times was jim mcmanus jim osborne's partner?,"  Outcome No. Date        Tournament Surface     Partner         Opponents in the final Score in the final
Runner-up  1. 1969 Los Angeles, U.S.    Hard Jim McManus Pancho Gonzales\n Ron Holmberg           3–6, 4–6
Runner-up  2. 1970      Merion, U.S.    Hard Jim McManus   William Bowrey\n Ray Ruffels      6–3, 2–6, 5–7
   Winner  1. 1971    Columbus, U.S.    Hard Jim McManus  Jimmy Connors\n Roscoe Tanner      4–6, 7–5, 6–2",Jim McManus was Jim Osborne's partner 7 times.,7,correct
fc schalke 04 and what other club beat them?,"Season        Competition Round           Club Home Away Aggregate
  2003 UEFA Intertoto Cup    R1    WIT Georgia  1-0  1-2       2-2
                             R2      FK Pobeda  2-1  1-1       3-2
                             R3 Tobol Kostanay  3-0  1-0       4-0",The team that beat FC Schalke 04 is Werder Bremen.,Livorno,wrong
"the most recent version to be released was in 1989, what was it called?","        Model Released                                             Usage                                                                                                                                                                                                                                                   Features                                                                                                                                                                                                                                                                             Storage
Betsie/Dottie  Unknown          Used for calculating odds for bookmakers                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
        SADIE     1966     Sterling And Decimal Invoicing Electronically Programming stored on soldered-through connectors on double-sided printed circuit cards, connecting instruction type on one side of the card with instruction number on the other side. IBM 2741 Selectric-style golf-ball teleprinter for user interface. Nickel acoustic delay line working storage (8 words of decimal arithmetic). Paper tape and edge-punched cards. Magnetic stripe cards for the teleprinter-style user interface. Could be switched between decimal and Sterling at the flick of a switch as it said in the publicity.
        SUSIE     1967 Stock Updating and Sales Invoicing Electronically                                                                                                  Programmes (2) stored on drum, each with 1000 machine instructions. Programme could be loaded from or written out to paper tape. User interface as SADIE.                                                                                                                                                                                                                                         As for SADIE, plus magnetic drum (6k words)","The most recent version to be released was in 1989, and it was called Distributor EP.",Distributor EP,correct
what was the longest time on the list?,"Rank             Name   Nationality    Time Notes
   1 Janelle Atkinson       Jamaica 4:16.89     Q
   2                -             -       -     Q
   3  Kaitlin Sandeno United States 4:18.97     Q",The longest time on the list is '-----'.,4:19.84,wrong
how many total times has village roadshow queensland new filmmakers awards won?,"                              Festival Year                     Award       Nominee    Result
          Blue Mountains Film Festival 2011           Animation Prize           N/A       Won
FirstGlance Film Festival Philadelphia 2011 Best Director (Animation) Andrew Martin       Won
   Lucerne International Film Festival 2011       Best Animated Movie           N/A Nominated",The Village Roadshow Queensland New Filmmakers Awards has won a total of 14 times.,1,wrong
how many films used the kannada language?,"YEAR                 FILM               SONG  LANGUAGE
2005            The Tiger Kaliya Visha Dhara Malayalam
2006 Chinthamani Kolacase           Asathoma Malayalam
2006              The Don         Theme song Malayalam",There are 3 films that used the Kannada language.,3,correct
what county had the most votes for romney?,"    County  Obama   Votes Romney   Votes Others  Votes   Total
Bernalillo 55.55% 147,183 39.35% 104,242  5.10% 13,517 264,942
    Catron 26.38%     560 70.37%   1,494  3.25%     69   2,123
    Chaves 32.28%   6,641 64.77%  13,327  2.95%    607  20,575","The County with the highest average votes for Romney is Bernalillo, with an average of 39.35%.",Bernalillo,correct
"more beetles came from which country, spain or south africa?","                 Species Country of origin Total released First release        Last release Areas of release Areas established    Pasture type
             Bubas bison     France, Spain          1,613    April 1983 1996 (not by CSIRO)               WA       NSW, SA, WA Winter rainfall
    Copris elphenor Klug      South Africa          2,287  January 1977            May 1983              QLD               QLD Summer rainfall
Copris hispanus Linnaeus             Spain            294  October 1983           June 1994               WA                WA Winter rainfall",The question cannot be answered because the 'Country of origin' column contains non-numeric data.,South Africa,wrong
"how many counties have a median household income of at least $50,000?","Rank        County Per capita\nincome Median\nhousehold\nincome Median\nfamily\nincome  Population Number of\nhouseholds
   1        McCone            $32,205                   $42,998                $52,636       1,734                   774
   2      Gallatin            $27,423                   $50,136                $65,029      89,513                36,550
     United States            $27,334                   $51,914                $62,982 308,745,538           116,716,292","The number of counties with a median household income of at least $50,000 is [distinct_count].",8,correct
